event_slug,class,pick_rate_pct_sum,occurrences
playoffs_split1,Support,17.5,217
playoffs_split1,Skirmisher,28.62,355
playoffs_split1,Assault,89.11,1105
playoffs_split1,Controller,73.55,912
playoffs_split1,Recon,91.21,1131
midseason_ewc_split1,Support,6.26,53
midseason_ewc_split1,Assault,136.3,1154
midseason_ewc_split1,Controller,50.199999999999996,425
midseason_ewc_split1,Other,2.36,20
midseason_ewc_split1,Recon,57.17,484
midseason_ewc_split1,Skirmisher,47.71,404
playoffs_split2,Recon,71.64,917
playoffs_split2,Controller,69.3,887
playoffs_split2,Assault,93.91,1202
playoffs_split2,Support,38.989999999999995,499
playoffs_split2,Skirmisher,26.18,335
championship_split2,Support,202.32,2792
championship_split2,Skirmisher,10.43,144
championship_split2,Recon,0.07,1
championship_split2,Controller,86.37,1192
championship_split2,Assault,0.8,11
