event_slug,game_id,score_kills,score_total_points,stat_kills,deaths,knocks,times_knocked,revives,respawns,ring_damage,br_baseline_kills,score_kills_above_baseline,deaths_above_60
playoffs_split1,20c45f5244b387cf57826093aaca141b,56,110,56,59,65,64,5,2,3924,57,-1,-1
playoffs_split1,49e5286ae3f0eeeb1ec3ab426a97843b,60,114,60,64,77,75,12,7,4567,57,3,4
playoffs_split1,44e0ccf0faa2d8cfc8e535f43eba6878,57,111,57,58,69,67,11,1,1121,57,0,-2
playoffs_split1,426f720c317b62fd1dfbbd1658f874ba,59,113,59,64,71,72,7,7,2806,57,2,4
playoffs_split1,404c273255fa25c5cc8b5c4ec2a77613,56,110,56,60,71,69,10,3,2226,57,-1,0
playoffs_split1,3a6d0ba8b38b77226d0dbb3fd423defb,53,107,53,59,66,64,5,2,2477,57,-4,-1
playoffs_split1,34500799285bff8675912db8a4f4d765,56,110,56,58,70,67,12,1,4751,57,-1,-2
playoffs_split1,32491f22131a367c62a0c727704cbc85,53,107,53,58,62,62,4,1,2879,57,-4,-2
playoffs_split1,2ea712db3c1833549c763a81af5c0ac1,56,110,56,59,63,64,6,1,3234,57,-1,-1
playoffs_split1,2e68347dda46910685df17425d3da15e,57,111,57,61,70,67,7,4,3986,57,0,1
playoffs_split1,2cb28ec726a4db13e5cb3df238b70a07,54,108,54,60,70,67,10,3,1869,57,-3,0
playoffs_split1,26a5f497a2ee98fd785bbbf56c43189d,54,108,54,59,66,65,6,2,2107,57,-3,-1
playoffs_split1,257081c63b3e968ca1f53b68084d7b45,59,113,59,62,74,69,12,5,2513,57,2,2
playoffs_split1,23716f9c78f60d5c0ffaa7efb4b7bb98,54,108,54,60,72,69,12,3,4629,57,-3,0
playoffs_split1,22883cfb52f91821259ccb142baa4e77,58,112,58,63,70,70,8,6,3083,57,1,3
playoffs_split1,21c427a9a350639009e1df3e7c40857a,55,109,55,59,70,68,10,2,1492,57,-2,-1
playoffs_split1,ee55457bbf0e1e207fd7d9f865cb3719,54,108,54,58,71,69,11,1,1734,57,-3,-2
playoffs_split1,1a5775973410d10dcb1b65ff91dde6d6,55,109,55,58,71,68,12,1,1904,57,-2,-2
playoffs_split1,1768492f6177178c0f820513b8400e77,59,113,59,59,64,63,4,2,3681,57,2,-1
playoffs_split1,15b89b400bd62d758a262916a77aca5d,58,112,58,60,73,69,11,3,2909,57,1,0
playoffs_split1,0ef3ec6319ef6e1561feb7096c2f5bef,55,109,55,58,64,62,6,1,2253,57,-2,-2
playoffs_split1,0b2808f46ef192416601f7b0bb3b5123,56,110,56,58,69,67,10,1,2305,57,-1,-2
playoffs_split1,070ed66d538a0c27ab124da0cb3652f6,60,114,60,62,69,68,6,4,3994,57,3,2
playoffs_split1,dd70e5d4edcdf4ff052b44a3923199a3,57,111,57,60,65,65,5,3,4224,57,0,0
playoffs_split1,f1c203a2292263e20293bd288202b5b3,59,113,59,61,67,66,5,4,1371,57,2,1
playoffs_split1,f1d7a87f3b090b9bec8b408c43bb8214,57,111,57,58,70,68,10,1,3220,57,0,-2
playoffs_split1,f3bda6de85e8aa884bbb1c5c8734ef76,50,104,50,59,64,62,5,2,2415,57,-7,-1
playoffs_split1,f41f2816be64ec813f9b263e19eed905,59,113,59,59,71,70,11,2,3774,57,2,-1
playoffs_split1,52dd387d9d52ec001940a8c175437335,57,111,57,60,67,67,5,3,3086,57,0,0
playoffs_split1,f59a2d3f2ae6f35f5c7ee3d953321c03,52,106,52,58,68,66,10,1,4190,57,-5,-2
playoffs_split1,55179bfa4b2b44f62ce1b324f0e384e5,59,113,59,61,73,69,12,4,2079,57,2,1
playoffs_split1,587ddd6d293203ae16ce44958d7418e7,56,110,56,60,69,66,9,1,2134,57,-1,0
playoffs_split1,d9a4c229b31837cac2033216ba955879,57,111,57,61,66,67,6,4,2118,57,0,1
playoffs_split1,ce828921662811ef1a3b3528c431d08d,59,113,59,65,76,73,12,8,5647,57,2,5
playoffs_split1,cda9394a052bf7225b7e41d935dbd641,57,111,57,62,73,72,12,5,2647,57,0,2
playoffs_split1,cb809251d2cf744346f7fdbd42e4c6df,61,115,61,63,70,68,7,6,1959,57,4,3
playoffs_split1,cb7cc7a3e0ef7a1a7ed051803ba87e58,58,112,58,60,71,69,11,3,3574,57,1,0
playoffs_split1,c7407d2bafe18e142c8b13627e46e0be,61,115,61,61,69,64,8,2,2120,57,4,1
playoffs_split1,bf8884db762499d7b2b60ff61fb32a40,54,108,54,58,65,65,7,1,1370,57,-3,-2
playoffs_split1,bdf1ff30c460fe0b123058cd8aff56c6,53,107,53,57,68,65,10,0,864,57,-4,-3
playoffs_split1,b935e55db3a07cf65f7d62448dacb8a3,56,110,56,59,77,75,18,2,2892,57,-1,-1
playoffs_split1,b67f895a8a68e87842b3dc30860f0d60,54,108,54,58,73,68,13,1,2894,57,-3,-2
playoffs_split1,b62b35ac64339fac0c3884dc11a51a6c,56,110,56,63,70,69,8,6,2822,57,-1,3
playoffs_split1,ad548a579c107555c8a0fe3f750068cd,59,113,59,62,72,70,10,5,3189,57,2,2
playoffs_split1,9ff4d4a2fcf78c6fd85f1e89fbbe74df,55,109,55,59,69,66,10,2,1189,57,-2,-1
playoffs_split1,9def6396d610799f8d5af453dd8aebfc,57,111,57,61,65,65,4,4,4309,57,0,1
playoffs_split1,8aba1f3d51379381c7980ba801f1fee8,54,108,54,58,66,63,8,1,3360,57,-3,-2
playoffs_split1,7a7d5f4217ee69a94ea250b74b0f5777,59,113,59,61,74,72,13,3,2921,57,2,1
playoffs_split1,79329199f08f160ecfc40deb8a5325ab,54,108,54,57,64,63,6,0,3459,57,-3,-3
playoffs_split1,76cb94a8211c3a0d35ae071a73d01144,55,109,55,59,63,62,4,2,1749,57,-2,-1
playoffs_split1,7581a23b2497504afb90fd6780dfd56b,53,107,53,58,63,64,5,1,975,57,-4,-2
playoffs_split1,71ecab877b29514cb78bb0ac13b446a9,58,112,58,59,67,64,8,2,3212,57,1,-1
playoffs_split1,6d211519e7efd27f1e427880786b56ae,59,113,59,60,73,68,13,3,1671,57,2,0
playoffs_split1,6c09947e631313635b38200dd2dee76c,59,113,59,62,74,68,12,5,2555,57,2,2
playoffs_split1,681503e51cdeb07d91036f639b1989ac,56,110,56,58,65,63,8,1,3152,57,-1,-2
playoffs_split1,666f82f8c25fbfa804def75afdf5ab7a,59,113,59,60,73,68,13,3,1514,57,2,0
playoffs_split1,644c8ec78231035b0c41d8a1de9c4a27,61,115,61,62,74,74,12,5,4178,57,4,2
playoffs_split1,60a2696c4d67a5838dce0a6d723f4aca,49,103,49,57,65,64,8,0,3136,57,-8,-3
playoffs_split1,5c807aa118775d3e9d5cda810ac98d5e,55,109,55,61,65,65,4,4,3606,57,-2,1
playoffs_split1,574fac10fc3bc60b78e8333d05933876,58,112,58,59,67,65,8,2,1683,57,1,-1
playoffs_split1,fa55aec6c52b4f25eb47efd5a58a2f6c,60,114,60,61,67,66,5,4,4099,57,3,1
