event_slug,map_name,games,kills,total_pts,avg_kills_team_game,avg_total_team_game,low_kill_top5_zone_pct,high_kill_low_place_edge_pct,high_kill_top5_hybrid_pct,kill_point_share
playoffs_split1,Storm Point,31,1753,3427,2.82741935483871,5.52741935483871,2.903225806451613,1.935483870967742,13.709677419354838,0.5115261161365626
playoffs_split1,World's Edge,31,1744,3418,2.8129032258064517,5.512903225806451,1.7741935483870968,3.387096774193549,16.29032258064516,0.5102399063779989
midseason_ewc_split1,Broken Moon,2,111,219,2.775,5.475,5.0,5.0,10.0,0.5068493150684932
midseason_ewc_split1,Kings Canyon,2,119,227,2.975,5.675,0.0,0.0,15.0,0.5242290748898678
midseason_ewc_split1,Olympus,2,116,224,2.9,5.6,0.0,0.0,17.5,0.5178571428571429
midseason_ewc_split1,Storm Point,18,1003,1975,2.786111111111111,5.486111111111111,3.3333333333333335,3.6111111111111107,12.222222222222221,0.5078481012658228
midseason_ewc_split1,World's Edge,19,1085,2111,2.8552631578947367,5.5552631578947365,2.1052631578947367,3.1578947368421053,14.736842105263156,0.5139744197063003
playoffs_split2,Storm Point,31,1788,3462,2.8838709677419354,5.583870967741936,1.935483870967742,2.258064516129032,16.29032258064516,0.5164644714038128
playoffs_split2,World's Edge,33,1900,3682,2.878787878787879,5.578787878787879,1.9696969696969695,2.5757575757575757,16.060606060606062,0.5160239000543183
championship_split2,E-District,23,1316,2558,2.860869565217391,5.560869565217391,2.391304347826087,3.260869565217391,14.782608695652174,0.5144644253322909
championship_split2,Storm Point,23,1328,2570,2.8869565217391306,5.586956521739131,2.1739130434782608,4.130434782608695,15.65217391304348,0.5167315175097277
championship_split2,World's Edge,23,1316,2558,2.860869565217391,5.560869565217391,2.391304347826087,3.4782608695652173,15.434782608695652,0.5144644253322909
