event_slug,event_name,overview_url,split,league,region,day,group,game_id,source_url,source_scope,table_index,table_type,table_heading,row_number,team,games,best_p,avg_p,kills,place_pts,total_pts,knocks,times_knocked,dmg_dealt,dmg_taken,dmg_diff,dmg_per_kill,ring_dmg,rez,rspn,k_per_d,ka_per_d,deaths,surv_time,avg_fastest_first_kill,top_1s,top_2s,top_3s,top_5s,top_10s,top_15s,top_20s,top_10_pct,t10_to_t5_pct,t5_to_t1_pct,assists,kill_share,placement_share,kills_per_game,place_pts_per_game,total_pts_per_game,top5_rate,top10_rate,style
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,82,team_stats,Scores,38,HEROEZ,30,1st,11.1,67,83,150,86,102,44123,"48,265","-4,142",658.55,"4,933",13,6,0.73,1.32,92,22h 45m 28s,10m 22s,2,4,4,8,13,23,30,43.3%,61.5%,25%,54,0.44666666666666666,0.5533333333333333,2.2333333333333334,2.7666666666666666,5.0,0.26666666666666666,0.43333333333333335,zone_control_proxy
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,82,team_stats,Scores,15,RED Rams,30,1st,12.8,67,55,122,79,115,35535,"48,438","-12,903",530.37,"8,411",24,8,0.7,1.3,96,21h 17m 56s,9m 33s,1,2,3,5,10,16,30,33.3%,50%,20%,58,0.5491803278688525,0.45081967213114754,2.2333333333333334,1.8333333333333333,4.066666666666666,0.16666666666666666,0.3333333333333333,edge_fighting_proxy
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,82,team_stats,Scores,14,Legends Gaming,38,1st,10.1,113,112,225,137,132,68964,"65,812","3,152",610.3,"3,421",18,5,1.0,2.11,113,28h 53m 47s,10m 53s,2,5,5,12,22,28,38,57.9%,54.5%,16.7%,125,0.5022222222222222,0.49777777777777776,2.973684210526316,2.9473684210526314,5.921052631578948,0.3157894736842105,0.5789473684210527,zone_control_proxy
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,82,team_stats,Scores,13,Aurora,32,2nd,8.3,135,112,247,156,140,61143,"78,509","-17,366",452.91,"19,476",36,15,1.22,2.44,111,29h 18s,10m 59s,0,6,9,11,20,29,32,62.5%,55%,0%,136,0.5465587044534413,0.4534412955465587,4.21875,3.5,7.71875,0.34375,0.625,hybrid_high_yield
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,82,team_stats,Scores,12,FURIA,30,1st,10.4,95,66,161,114,104,52610,"51,976",634,553.79,"2,200",15,6,1.02,2.1,93,23h 50m 57s,10m 15s,1,1,2,5,16,26,30,53.3%,31.3%,20%,100,0.5900621118012422,0.40993788819875776,3.1666666666666665,2.2,5.366666666666666,0.16666666666666666,0.5333333333333333,edge_fighting_proxy
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,82,team_stats,Scores,11,Made in Heaven,30,2nd,10.9,81,63,144,105,98,50015,"51,329","-1,314",617.47,608,12,1,0.89,1.79,91,22h 56m 38s,10m 55s,0,1,4,5,13,22,30,43.3%,38.5%,0%,82,0.5625,0.4375,2.7,2.1,4.8,0.16666666666666666,0.43333333333333335,edge_fighting_proxy
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,82,team_stats,Scores,10,2Rats1Controller,32,1st,11.6,95,66,161,113,118,45880,"58,355","-12,475",482.95,"4,445",19,13,0.91,2.0,104,25h 13m 47s,8m 54s,2,2,3,4,12,25,32,37.5%,33.3%,50%,113,0.5900621118012422,0.40993788819875776,2.96875,2.0625,5.03125,0.125,0.375,edge_fighting_proxy
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,82,team_stats,Scores,9,Elev8 Gaming,38,1st,10.3,141,123,264,167,114,67286,"57,636","9,650",477.21,"3,034",11,1,1.41,2.78,100,28h 37m 18s,9m 15s,5,6,7,12,21,28,38,55.3%,57.1%,41.7%,137,0.5340909090909091,0.4659090909090909,3.710526315789474,3.236842105263158,6.947368421052632,0.3157894736842105,0.5526315789473685,hybrid_high_yield
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,82,team_stats,Scores,16,DarkZero,32,1st,6.7,177,179,356,197,100,84230,"69,431","14,799",475.88,"3,297",22,2,2.21,4.25,80,30h 1m 33s,11m 23s,6,11,15,18,24,28,32,75%,75%,33.3%,163,0.49719101123595505,0.5028089887640449,5.53125,5.59375,11.125,0.5625,0.75,zone_control_proxy
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,82,team_stats,Scores,7,Alliance,38,1st,10.1,143,110,253,170,123,64314,"65,294",-980,449.75,"9,546",22,5,1.34,2.52,107,30h 3m 24s,10m 27s,4,4,5,8,22,27,38,57.9%,36.4%,50%,127,0.5652173913043478,0.43478260869565216,3.763157894736842,2.8947368421052633,6.657894736842105,0.21052631578947367,0.5789473684210527,edge_fighting_proxy
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,82,team_stats,Scores,5,Liquid Alienware,32,1st,11.0,81,84,165,105,105,48576,"51,318","-2,742",599.7,"2,924",11,7,0.84,1.69,97,25h 32m 21s,12m 26s,2,4,5,7,16,19,32,50%,43.8%,28.6%,83,0.4909090909090909,0.509090909090909,2.53125,2.625,5.15625,0.21875,0.5,zone_control_proxy
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,82,team_stats,Scores,4,FNATIC,32,1st,8.6,174,109,283,199,112,70195,"59,171","11,024",403.42,"7,109",26,3,1.87,3.96,93,27h 25m 14s,9m 55s,2,5,7,9,20,29,32,62.5%,45%,22.2%,194,0.6148409893992933,0.38515901060070673,5.4375,3.40625,8.84375,0.28125,0.625,hybrid_high_yield
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,82,team_stats,Scores,3,CRAZY RACCOON,30,1st,11.7,65,66,131,86,100,36546,"37,871","-1,325",562.25,"3,404",15,2,0.76,1.63,86,23h 20m 15s,10m 28s,2,2,3,6,11,22,30,36.7%,54.5%,33.3%,75,0.4961832061068702,0.5038167938931297,2.1666666666666665,2.2,4.366666666666666,0.2,0.36666666666666664,low_yield_or_unstable
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,82,team_stats,Scores,2,Virtus.Pro,32,1st,8.8,82,122,204,101,101,49799,"43,576","6,223",607.3,"4,251",9,3,0.91,1.83,90,28h 15m 47s,13m 34s,3,6,8,13,20,26,32,62.5%,65%,23.1%,83,0.4019607843137255,0.5980392156862745,2.5625,3.8125,6.375,0.40625,0.625,zone_control_proxy
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,82,team_stats,Scores,1,TSM,38,1st,11.0,109,84,193,141,128,55629,"57,629","-2,000",510.36,"5,619",11,8,0.92,1.73,119,28h 52m 40s,9m 34s,1,2,4,5,18,31,38,47.4%,27.8%,20%,97,0.5647668393782384,0.43523316062176165,2.8684210526315788,2.210526315789474,5.078947368421052,0.13157894736842105,0.47368421052631576,edge_fighting_proxy
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,82,team_stats,Scores,39,HAO,24,2nd,11.0,37,50,87,46,79,26000,"31,299","-5,299",702.7,"3,960",8,1,0.51,1.08,73,18h 36m 8s,13m 9s,0,1,1,4,14,19,24,58.3%,28.6%,0%,42,0.42528735632183906,0.5747126436781609,1.5416666666666667,2.0833333333333335,3.625,0.16666666666666666,0.5833333333333334,low_yield_or_unstable
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,82,team_stats,Scores,40,GEARED GAMING,30,1st,10.6,86,86,172,98,97,41175,"44,824","-3,649",478.78,"2,681",13,2,1.0,1.95,86,23h 13m 26s,9m 52s,2,5,5,6,17,22,30,56.7%,35.3%,33.3%,82,0.5,0.5,2.8666666666666667,2.8666666666666667,5.733333333333333,0.2,0.5666666666666667,low_yield_or_unstable
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,82,team_stats,Scores,6,Complexity,30,3rd,9.1,42,86,128,65,93,44417,"40,277","4,140",1057.55,"2,281",6,0,0.47,0.8,90,25h 1m 46s,12m 24s,0,0,4,12,16,27,30,53.3%,75%,0%,30,0.328125,0.671875,1.4,2.8666666666666667,4.266666666666667,0.4,0.5333333333333333,zone_control_proxy
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,82,team_stats,Scores,17,Not Moist,32,1st,8.7,107,102,209,124,98,54611,"49,141","5,470",510.38,"5,886",10,0,1.15,2.31,93,27h 53m 24s,13m 4s,1,3,6,10,20,31,32,62.5%,50%,10%,108,0.5119617224880383,0.4880382775119617,3.34375,3.1875,6.53125,0.3125,0.625,hybrid_high_yield
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,82,team_stats,Scores,8,SSG,38,2nd,10.0,136,95,231,165,130,69906,"54,659","15,247",514.01,"5,761",15,2,1.17,2.4,116,31h 9m 37s,10m 33s,0,3,4,10,18,31,38,47.4%,55.6%,0%,142,0.5887445887445888,0.41125541125541126,3.5789473684210527,2.5,6.078947368421052,0.2631578947368421,0.47368421052631576,hybrid_high_yield
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,82,team_stats,Scores,19,REJECT WINNITY,32,1st,8.6,137,135,272,168,93,73235,"48,887","24,348",534.56,"2,149",17,4,1.67,3.62,82,27h 17m 37s,10m 35s,6,9,9,12,19,25,32,59.4%,63.2%,50%,160,0.5036764705882353,0.4963235294117647,4.28125,4.21875,8.5,0.375,0.59375,zone_control_proxy
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,82,team_stats,Scores,18,o7,32,1st,13.3,100,70,170,115,104,42105,"41,576",529,421.05,868,12,6,1.08,2.12,93,18h 55m 56s,7m 22s,3,4,5,6,10,14,32,31.3%,60%,50%,97,0.5882352941176471,0.4117647058823529,3.125,2.1875,5.3125,0.1875,0.3125,edge_fighting_proxy
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,82,team_stats,Scores,35,BR DEM0NZ,24,1st,12.5,48,44,92,67,73,31809,"34,134","-2,325",662.69,"3,705",5,0,0.7,1.32,69,17h 37m 25s,11m 20s,1,1,1,4,7,17,24,29.2%,57.1%,25%,43,0.5217391304347826,0.4782608695652174,2.0,1.8333333333333333,3.8333333333333335,0.16666666666666666,0.2916666666666667,edge_fighting_proxy
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,82,team_stats,Scores,34,PassionUA,24,3rd,10.8,55,50,105,69,86,42414,"45,129","-2,715",771.16,"1,329",13,4,0.72,1.55,76,19h 28m 48s,9m 43s,0,0,2,3,12,20,24,50%,25%,0%,63,0.5238095238095238,0.47619047619047616,2.2916666666666665,2.0833333333333335,4.375,0.125,0.5,edge_fighting_proxy
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,82,team_stats,Scores,33,Tom Yum Kung,24,3rd,12.0,46,41,87,64,85,29338,"35,242","-5,904",637.78,"6,813",6,9,0.57,1.1,81,18h 12m 21s,10m 44s,0,0,2,3,9,17,24,37.5%,33.3%,0%,43,0.5287356321839081,0.47126436781609193,1.9166666666666667,1.7083333333333333,3.625,0.125,0.375,edge_fighting_proxy
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,82,team_stats,Scores,32,Cloud9,38,1st,9.2,103,125,228,135,121,63066,"55,249","7,817",612.29,"4,943",9,2,0.93,1.99,111,32h 27m 25s,12m 59s,2,4,9,12,23,31,38,60.5%,52.2%,16.7%,118,0.4517543859649123,0.5482456140350878,2.710526315789474,3.289473684210526,6.0,0.3157894736842105,0.6052631578947368,zone_control_proxy
