event_slug,event_name,overview_url,split,league,region,day,group,game_id,source_url,source_scope,weapon_key,weapon,kills,damage,knockdowns,times_knocked,fwr_pct,shots,hits,accuracy,playtime,playtime_seconds,max_kill_range,max_damage_range,icon,stage,game_label,game_number,map_name,stats_url,replay_url,title,category,total_kills,total_damage,kill_share_pct,damage_share_pct
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,Hemlok,Hemlok,623,450810,1100.0,356.0,75.55,165941.0,25563.0,15.4%,101h 16m 8s,364568,333.55,454.99,Hemlok_Burst_AR_Icon.svg,,,,,,,,AR,3276,1795574,19.017094017094017,25.106734670918602
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,Longbow,Longbow DMR,13,14650,26.0,5.0,83.87,1607.0,277.0,17.24%,3h 34m 21s,12861,216.73,399.76,Longbow_DMR_Icon.svg,,,,,,,,Precision,3276,1795574,0.3968253968253968,0.8158950842460405
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,Rampage,Rampage LMG,8,6448,15.0,18.0,45.45,4086.0,285.0,6.98%,3h 1m 49s,10909,40.13,280.35,Rampage_LMG_Icon.svg,,,,,,,,LMG,3276,1795574,0.2442002442002442,0.3591052220626942
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,Sentinel,Sentinel,48,70797,90.0,30.0,75.0,3575.0,919.0,25.71%,17h 37m 30s,63450,214.7,369.11,Sentinel_Icon.svg,,,,,,,,Precision,3276,1795574,1.465201465201465,3.942861725554057
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,RE-45,RE-45,31,10269,62.0,24.0,72.09,4379.0,836.0,19.09%,2h 0m 26s,7226,51.71,122.44,RE-45_Auto_Icon.svg,,,,,,,,Pistol/SMG,3276,1795574,0.9462759462759462,0.5719062539332826
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,ChargeRifle,Charge Rifle,4,10240,15.0,1.0,93.75,810.0,119.0,14.69%,2h 17m 53s,8273,163.77,399.22,Charge_Rifle_Icon.svg,,,,,,,,Precision,3276,1795574,0.1221001221001221,0.570291171513956
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,P2020,P2020,6,1042,11.0,4.0,73.33,490.0,62.0,12.65%,0h 16m 13s,973,16.56,44.15,P2020_Icon.svg,,,,,,,,Pistol/Akimbo,3276,1795574,0.18315018315018314,0.058031582101322476
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,FragGrenade,Frag Grenade,67,43252,134.0,,,,880.0,-,0h 0m 0s,0,92.04,98.19,Frag_Grenade.svg,,,,,,,,Ordnance,3276,1795574,2.045177045177045,2.4088118896798463
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,Spitfire,M600 Spitfire,17,5192,28.0,13.0,68.29,2816.0,323.0,11.47%,1h 28m 38s,5318,55.31,271.87,M600_Spitfire_Icon.svg,,,,,,,,LMG,3276,1795574,0.518925518925519,0.2891554455566855
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,Bocek,Bocek Compound Bow,8,9214,18.0,4.0,81.82,7.0,159.0,-,0h 57m 15s,3435,117.89,210.06,Bocek_Compound_Bow_Icon.svg,,,,,,,,Precision,3276,1795574,0.2442002442002442,0.513150669368124
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,Wingman,Wingman,35,14393,62.0,,,,297.0,-,0h 0m 0s,0,133.24,159.21,Wingman_Icon.svg,,,,,,,,Precision,3276,1795574,1.0683760683760684,0.8015821124609734
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,EVA-8,EVA-8 Auto,18,4140,29.0,,,,672.0,-,0h 0m 0s,0,22.92,48.23,EVA-8_Auto_Icon.svg,,,,,,,,Shotgun,3276,1795574,0.5494505494505495,0.2305669384831814
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,Fall,Fall,0,5000,,,,,1.0,-,0h 0m 0s,0,0.0,881.51,damage.svg,,,,,,,,Other,3276,1795574,0.0,0.2784624860907988
