event_slug,event_name,split,league,region,day,group,stage,game_label,game_number,map_name,game_id,stats_url,replay_url,title
playoffs_split1,ALGS Year 4 Split 1 Playoffs,Y4-Split1,ALGS-Playoffs,Global,Day1,AvB,A vs. B,Game #1,1,Storm Point,404c273255fa25c5cc8b5c4ec2a77613,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Day1/AvB/404c273255fa25c5cc8b5c4ec2a77613,https://apexlegendsstatus.com/algs/game/404c273255fa25c5cc8b5c4ec2a77613,A vs. B - Game #1 - Storm Point
playoffs_split1,ALGS Year 4 Split 1 Playoffs,Y4-Split1,ALGS-Playoffs,Global,Day1,AvB,A vs. B,Game #2,2,Storm Point,cb809251d2cf744346f7fdbd42e4c6df,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Day1/AvB/cb809251d2cf744346f7fdbd42e4c6df,https://apexlegendsstatus.com/algs/game/cb809251d2cf744346f7fdbd42e4c6df,A vs. B - Game #2 - Storm Point
playoffs_split1,ALGS Year 4 Split 1 Playoffs,Y4-Split1,ALGS-Playoffs,Global,Day1,AvB,A vs. B,Game #3,3,Storm Point,cb7cc7a3e0ef7a1a7ed051803ba87e58,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Day1/AvB/cb7cc7a3e0ef7a1a7ed051803ba87e58,https://apexlegendsstatus.com/algs/game/cb7cc7a3e0ef7a1a7ed051803ba87e58,A vs. B - Game #3 - Storm Point
playoffs_split1,ALGS Year 4 Split 1 Playoffs,Y4-Split1,ALGS-Playoffs,Global,Day1,AvB,A vs. B,Game #4,4,World's Edge,b62b35ac64339fac0c3884dc11a51a6c,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Day1/AvB/b62b35ac64339fac0c3884dc11a51a6c,https://apexlegendsstatus.com/algs/game/b62b35ac64339fac0c3884dc11a51a6c,A vs. B - Game #4 - World's Edge
playoffs_split1,ALGS Year 4 Split 1 Playoffs,Y4-Split1,ALGS-Playoffs,Global,Day1,AvB,A vs. B,Game #5,5,World's Edge,644c8ec78231035b0c41d8a1de9c4a27,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Day1/AvB/644c8ec78231035b0c41d8a1de9c4a27,https://apexlegendsstatus.com/algs/game/644c8ec78231035b0c41d8a1de9c4a27,A vs. B - Game #5 - World's Edge
playoffs_split1,ALGS Year 4 Split 1 Playoffs,Y4-Split1,ALGS-Playoffs,Global,Day1,AvB,A vs. B,Game #6,6,World's Edge,426f720c317b62fd1dfbbd1658f874ba,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Day1/AvB/426f720c317b62fd1dfbbd1658f874ba,https://apexlegendsstatus.com/algs/game/426f720c317b62fd1dfbbd1658f874ba,A vs. B - Game #6 - World's Edge
playoffs_split1,ALGS Year 4 Split 1 Playoffs,Y4-Split1,ALGS-Playoffs,Global,Day1,AvD,A vs. D,Game #1,1,Storm Point,44e0ccf0faa2d8cfc8e535f43eba6878,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Day1/AvD/44e0ccf0faa2d8cfc8e535f43eba6878,https://apexlegendsstatus.com/algs/game/44e0ccf0faa2d8cfc8e535f43eba6878,A vs. D - Game #1 - Storm Point
playoffs_split1,ALGS Year 4 Split 1 Playoffs,Y4-Split1,ALGS-Playoffs,Global,Day1,AvD,A vs. D,Game #2,2,Storm Point,b935e55db3a07cf65f7d62448dacb8a3,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Day1/AvD/b935e55db3a07cf65f7d62448dacb8a3,https://apexlegendsstatus.com/algs/game/b935e55db3a07cf65f7d62448dacb8a3,A vs. D - Game #2 - Storm Point
playoffs_split1,ALGS Year 4 Split 1 Playoffs,Y4-Split1,ALGS-Playoffs,Global,Day1,AvD,A vs. D,Game #3,3,Storm Point,681503e51cdeb07d91036f639b1989ac,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Day1/AvD/681503e51cdeb07d91036f639b1989ac,https://apexlegendsstatus.com/algs/game/681503e51cdeb07d91036f639b1989ac,A vs. D - Game #3 - Storm Point
playoffs_split1,ALGS Year 4 Split 1 Playoffs,Y4-Split1,ALGS-Playoffs,Global,Day1,AvD,A vs. D,Game #4,4,World's Edge,cda9394a052bf7225b7e41d935dbd641,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Day1/AvD/cda9394a052bf7225b7e41d935dbd641,https://apexlegendsstatus.com/algs/game/cda9394a052bf7225b7e41d935dbd641,A vs. D - Game #4 - World's Edge
