event_slug,event_name,split,league,region,day,group,stage,game_label,game_number,map_name,game_id,stats_url,replay_url,title,source_url,source_scope,table_index,table_type,table_heading,row_number,legend,pick_rate_pct,avg_placement,win_rate_pct,top_5_rate_pct,top_7_conversion_rate_pct,fwr_pct,total_occurrences
playoffs_split1,ALGS Year 4 Split 1 Playoffs,Y4-Split1,ALGS-Playoffs,Global,Day1,AvB,A vs. B,Game #1,1,Storm Point,404c273255fa25c5cc8b5c4ec2a77613,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Day1/AvB/404c273255fa25c5cc8b5c4ec2a77613,https://apexlegendsstatus.com/algs/game/404c273255fa25c5cc8b5c4ec2a77613,A vs. B - Game #1 - Storm Point,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Day1/AvB/404c273255fa25c5cc8b5c4ec2a77613,game,1,legend_meta,Scores,1,Bangalore,90%,9.7,5.6%,27.8%,14.3%,52.3%,18
playoffs_split1,ALGS Year 4 Split 1 Playoffs,Y4-Split1,ALGS-Playoffs,Global,Day1,AvB,A vs. B,Game #1,1,Storm Point,404c273255fa25c5cc8b5c4ec2a77613,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Day1/AvB/404c273255fa25c5cc8b5c4ec2a77613,https://apexlegendsstatus.com/algs/game/404c273255fa25c5cc8b5c4ec2a77613,A vs. B - Game #1 - Storm Point,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Day1/AvB/404c273255fa25c5cc8b5c4ec2a77613,game,1,legend_meta,Scores,2,Bloodhound,80%,8.8,6.3%,31.3%,14.3%,53.3%,16
playoffs_split1,ALGS Year 4 Split 1 Playoffs,Y4-Split1,ALGS-Playoffs,Global,Day1,AvB,A vs. B,Game #1,1,Storm Point,404c273255fa25c5cc8b5c4ec2a77613,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Day1/AvB/404c273255fa25c5cc8b5c4ec2a77613,https://apexlegendsstatus.com/algs/game/404c273255fa25c5cc8b5c4ec2a77613,A vs. B - Game #1 - Storm Point,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Day1/AvB/404c273255fa25c5cc8b5c4ec2a77613,game,1,legend_meta,Scores,3,Caustic,50%,9.7,0%,30%,0%,52.2%,10
playoffs_split1,ALGS Year 4 Split 1 Playoffs,Y4-Split1,ALGS-Playoffs,Global,Day1,AvB,A vs. B,Game #1,1,Storm Point,404c273255fa25c5cc8b5c4ec2a77613,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Day1/AvB/404c273255fa25c5cc8b5c4ec2a77613,https://apexlegendsstatus.com/algs/game/404c273255fa25c5cc8b5c4ec2a77613,A vs. B - Game #1 - Storm Point,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Day1/AvB/404c273255fa25c5cc8b5c4ec2a77613,game,1,legend_meta,Scores,4,Horizon,20%,10.3,0%,25%,0%,45.2%,4
playoffs_split1,ALGS Year 4 Split 1 Playoffs,Y4-Split1,ALGS-Playoffs,Global,Day1,AvB,A vs. B,Game #1,1,Storm Point,404c273255fa25c5cc8b5c4ec2a77613,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Day1/AvB/404c273255fa25c5cc8b5c4ec2a77613,https://apexlegendsstatus.com/algs/game/404c273255fa25c5cc8b5c4ec2a77613,A vs. B - Game #1 - Storm Point,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Day1/AvB/404c273255fa25c5cc8b5c4ec2a77613,game,1,legend_meta,Scores,5,Crypto,15%,17.7,0%,0%,0%,30.8%,3
playoffs_split1,ALGS Year 4 Split 1 Playoffs,Y4-Split1,ALGS-Playoffs,Global,Day1,AvB,A vs. B,Game #1,1,Storm Point,404c273255fa25c5cc8b5c4ec2a77613,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Day1/AvB/404c273255fa25c5cc8b5c4ec2a77613,https://apexlegendsstatus.com/algs/game/404c273255fa25c5cc8b5c4ec2a77613,A vs. B - Game #1 - Storm Point,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Day1/AvB/404c273255fa25c5cc8b5c4ec2a77613,game,1,legend_meta,Scores,6,Conduit,15%,14,0%,0%,0%,45%,3
playoffs_split1,ALGS Year 4 Split 1 Playoffs,Y4-Split1,ALGS-Playoffs,Global,Day1,AvB,A vs. B,Game #1,1,Storm Point,404c273255fa25c5cc8b5c4ec2a77613,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Day1/AvB/404c273255fa25c5cc8b5c4ec2a77613,https://apexlegendsstatus.com/algs/game/404c273255fa25c5cc8b5c4ec2a77613,A vs. B - Game #1 - Storm Point,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Day1/AvB/404c273255fa25c5cc8b5c4ec2a77613,game,1,legend_meta,Scores,7,Wattson,15%,10.3,33.3%,33.3%,100%,63.6%,3
playoffs_split1,ALGS Year 4 Split 1 Playoffs,Y4-Split1,ALGS-Playoffs,Global,Day1,AvB,A vs. B,Game #1,1,Storm Point,404c273255fa25c5cc8b5c4ec2a77613,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Day1/AvB/404c273255fa25c5cc8b5c4ec2a77613,https://apexlegendsstatus.com/algs/game/404c273255fa25c5cc8b5c4ec2a77613,A vs. B - Game #1 - Storm Point,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Day1/AvB/404c273255fa25c5cc8b5c4ec2a77613,game,1,legend_meta,Scores,8,Lifeline,10%,16,0%,0%,0%,33.3%,2
playoffs_split1,ALGS Year 4 Split 1 Playoffs,Y4-Split1,ALGS-Playoffs,Global,Day1,AvB,A vs. B,Game #1,1,Storm Point,404c273255fa25c5cc8b5c4ec2a77613,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Day1/AvB/404c273255fa25c5cc8b5c4ec2a77613,https://apexlegendsstatus.com/algs/game/404c273255fa25c5cc8b5c4ec2a77613,A vs. B - Game #1 - Storm Point,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Day1/AvB/404c273255fa25c5cc8b5c4ec2a77613,game,1,legend_meta,Scores,9,Wraith,5%,20,0%,0%,0%,0%,1
playoffs_split1,ALGS Year 4 Split 1 Playoffs,Y4-Split1,ALGS-Playoffs,Global,Day1,AvB,A vs. B,Game #2,2,Storm Point,cb809251d2cf744346f7fdbd42e4c6df,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Day1/AvB/cb809251d2cf744346f7fdbd42e4c6df,https://apexlegendsstatus.com/algs/game/cb809251d2cf744346f7fdbd42e4c6df,A vs. B - Game #2 - Storm Point,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Day1/AvB/cb809251d2cf744346f7fdbd42e4c6df,game,1,legend_meta,Scores,1,Bangalore,90%,9.8,5.6%,27.8%,14.3%,51.2%,18
