event_slug,event_name,split,league,region,day,group,stage,game_label,game_number,map_name,game_id,stats_url,replay_url,title,source_url,source_scope,table_index,table_type,table_heading,row_number,team,games,best_p,avg_p,kills,place_pts,total_pts,knocks,times_knocked,dmg_dealt,dmg_taken,dmg_diff,dmg_per_kill,ring_dmg,rez,rspn,k_per_d,ka_per_d,deaths,surv_time,fastest_first_kill,top_1s,top_2s,top_3s,top_5s,top_10s,top_15s,top_20s,top_10_pct,t10_to_t5_pct,t5_to_t1_pct,assists
playoffs_split1,ALGS Year 4 Split 1 Playoffs,Y4-Split1,ALGS-Playoffs,Global,Day1,AvB,A vs. B,Game #1,1,Storm Point,404c273255fa25c5cc8b5c4ec2a77613,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Day1/AvB/404c273255fa25c5cc8b5c4ec2a77613,https://apexlegendsstatus.com/algs/game/404c273255fa25c5cc8b5c4ec2a77613,A vs. B - Game #1 - Storm Point,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Day1/AvB/404c273255fa25c5cc8b5c4ec2a77613,game,43,team_stats,Scores,1,LG,1,8th,8,0,2,2,2,4,695,"1,551",-856,695,194,1,0,0,0,3,32m 3s,,0,0,0,0,1,1,1,100%,0%,0%,0
playoffs_split1,ALGS Year 4 Split 1 Playoffs,Y4-Split1,ALGS-Playoffs,Global,Day1,AvB,A vs. B,Game #1,1,Storm Point,404c273255fa25c5cc8b5c4ec2a77613,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Day1/AvB/404c273255fa25c5cc8b5c4ec2a77613,https://apexlegendsstatus.com/algs/game/404c273255fa25c5cc8b5c4ec2a77613,A vs. B - Game #1 - Storm Point,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Day1/AvB/404c273255fa25c5cc8b5c4ec2a77613,game,43,team_stats,Scores,2,MDY-White,1,15th,15,3,1,4,3,3,"1,438","1,696",-258,479.33,0,0,0,1,3,3,46m 47s,12m 3s,0,0,0,0,0,1,1,0%,0%,0%,6
playoffs_split1,ALGS Year 4 Split 1 Playoffs,Y4-Split1,ALGS-Playoffs,Global,Day1,AvB,A vs. B,Game #1,1,Storm Point,404c273255fa25c5cc8b5c4ec2a77613,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Day1/AvB/404c273255fa25c5cc8b5c4ec2a77613,https://apexlegendsstatus.com/algs/game/404c273255fa25c5cc8b5c4ec2a77613,A vs. B - Game #1 - Storm Point,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Day1/AvB/404c273255fa25c5cc8b5c4ec2a77613,game,43,team_stats,Scores,3,Liquid Alienware,1,7th,7,3,3,6,5,3,"1,816","2,045",-229,605.33,115,0,0,1,2.33,3,56m 48s,16m 27s,0,0,0,0,1,1,1,100%,0%,0%,4
playoffs_split1,ALGS Year 4 Split 1 Playoffs,Y4-Split1,ALGS-Playoffs,Global,Day1,AvB,A vs. B,Game #1,1,Storm Point,404c273255fa25c5cc8b5c4ec2a77613,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Day1/AvB/404c273255fa25c5cc8b5c4ec2a77613,https://apexlegendsstatus.com/algs/game/404c273255fa25c5cc8b5c4ec2a77613,A vs. B - Game #1 - Storm Point,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Day1/AvB/404c273255fa25c5cc8b5c4ec2a77613,game,43,team_stats,Scores,4,Serenity,1,17th,17,2,0,2,3,4,"1,647","1,616",31,823.5,0,2,0,0.67,1.67,3,40m 28s,4m 45s,0,0,0,0,0,0,1,0%,0%,0%,3
playoffs_split1,ALGS Year 4 Split 1 Playoffs,Y4-Split1,ALGS-Playoffs,Global,Day1,AvB,A vs. B,Game #1,1,Storm Point,404c273255fa25c5cc8b5c4ec2a77613,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Day1/AvB/404c273255fa25c5cc8b5c4ec2a77613,https://apexlegendsstatus.com/algs/game/404c273255fa25c5cc8b5c4ec2a77613,A vs. B - Game #1 - Storm Point,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Day1/AvB/404c273255fa25c5cc8b5c4ec2a77613,game,43,team_stats,Scores,5,Cloud9,1,10th,10,6,2,8,7,4,"3,153","2,442",711,525.5,105,1,0,2,5.67,3,50m 38s,13m 9s,0,0,0,0,1,1,1,100%,0%,0%,11
playoffs_split1,ALGS Year 4 Split 1 Playoffs,Y4-Split1,ALGS-Playoffs,Global,Day1,AvB,A vs. B,Game #1,1,Storm Point,404c273255fa25c5cc8b5c4ec2a77613,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Day1/AvB/404c273255fa25c5cc8b5c4ec2a77613,https://apexlegendsstatus.com/algs/game/404c273255fa25c5cc8b5c4ec2a77613,A vs. B - Game #1 - Storm Point,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Day1/AvB/404c273255fa25c5cc8b5c4ec2a77613,game,43,team_stats,Scores,6,Never To Change,1,20th,20,0,0,0,0,3,254,578,-324,254,0,0,0,0,0,3,9m 18s,,0,0,0,0,0,0,1,0%,0%,0%,0
playoffs_split1,ALGS Year 4 Split 1 Playoffs,Y4-Split1,ALGS-Playoffs,Global,Day1,AvB,A vs. B,Game #1,1,Storm Point,404c273255fa25c5cc8b5c4ec2a77613,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Day1/AvB/404c273255fa25c5cc8b5c4ec2a77613,https://apexlegendsstatus.com/algs/game/404c273255fa25c5cc8b5c4ec2a77613,A vs. B - Game #1 - Storm Point,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Day1/AvB/404c273255fa25c5cc8b5c4ec2a77613,game,43,team_stats,Scores,7,Natus Vincere,1,5th,5,8,4,12,8,3,"3,133","1,453","1,680",391.63,80,0,0,2.67,5.33,3,57m 9s,15m 4s,0,0,0,1,1,1,1,100%,100%,0%,8
playoffs_split1,ALGS Year 4 Split 1 Playoffs,Y4-Split1,ALGS-Playoffs,Global,Day1,AvB,A vs. B,Game #1,1,Storm Point,404c273255fa25c5cc8b5c4ec2a77613,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Day1/AvB/404c273255fa25c5cc8b5c4ec2a77613,https://apexlegendsstatus.com/algs/game/404c273255fa25c5cc8b5c4ec2a77613,A vs. B - Game #1 - Storm Point,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Day1/AvB/404c273255fa25c5cc8b5c4ec2a77613,game,43,team_stats,Scores,8,Oxygen Esports,1,6th,6,1,3,4,1,5,"1,903","2,129",-226,1903,15,1,1,0.25,0.75,4,52m 47s,16m,0,0,0,0,1,1,1,100%,0%,0%,2
playoffs_split1,ALGS Year 4 Split 1 Playoffs,Y4-Split1,ALGS-Playoffs,Global,Day1,AvB,A vs. B,Game #1,1,Storm Point,404c273255fa25c5cc8b5c4ec2a77613,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Day1/AvB/404c273255fa25c5cc8b5c4ec2a77613,https://apexlegendsstatus.com/algs/game/404c273255fa25c5cc8b5c4ec2a77613,A vs. B - Game #1 - Storm Point,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Day1/AvB/404c273255fa25c5cc8b5c4ec2a77613,game,43,team_stats,Scores,9,DarkZero,1,13th,13,2,1,3,3,3,"1,560","2,307",-747,780,90,0,0,0.67,1.67,3,50m 24s,3m 18s,0,0,0,0,0,1,1,0%,0%,0%,3
playoffs_split1,ALGS Year 4 Split 1 Playoffs,Y4-Split1,ALGS-Playoffs,Global,Day1,AvB,A vs. B,Game #1,1,Storm Point,404c273255fa25c5cc8b5c4ec2a77613,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Day1/AvB/404c273255fa25c5cc8b5c4ec2a77613,https://apexlegendsstatus.com/algs/game/404c273255fa25c5cc8b5c4ec2a77613,A vs. B - Game #1 - Storm Point,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Day1/AvB/404c273255fa25c5cc8b5c4ec2a77613,game,43,team_stats,Scores,10,REJECT WINNITY,1,11th,11,3,1,4,3,3,"1,827","1,427",400,609,15,0,0,1,1.33,3,50m 21s,7m 49s,0,0,0,0,0,1,1,0%,0%,0%,1
