event_slug,event_name,overview_url,split,league,region,day,group,game_id,source_url,source_scope,table_index,table_type,table_heading,row_number,team,storm_point,world_s_edge,overall_max,storm_point_fastest,storm_point_fastest_avg,storm_point_avg,world_s_edge_fastest,world_s_edge_fastest_avg,world_s_edge_avg,overall_fastest,overall_fastest_avg,overall_avg,player,legend,perk,pick_rate_pct_per_legend,number_of_picks,level_2_blue,level_3_purple,level_4_red,col_1,pv_rank,player_value,carry_value,absolute_pv,kills_per_game,damage_per_game,damage_ratio,rank,tv,avg_placement,broken_moon,broken_moon_fastest,broken_moon_fastest_avg,broken_moon_avg,e_district,e_district_fastest,e_district_fastest_avg,e_district_avg
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,88,other,Scores,1,TSM,5,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,88,other,Scores,2,WMNDY,8,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,88,other,Scores,3,PassionUA,8,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,88,other,Scores,4,SSG,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,88,other,Scores,5,RIDDLE ORDER,9,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,88,other,Scores,6,Made in Heaven,6,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,88,other,Scores,7,Boogie Boarders,5,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,88,other,Scores,8,o7,20,12,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,88,other,Scores,9,BR DEM0NZ,10,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,88,other,Scores,10,wonton dumpling,9,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
