event_slug,event_name,overview_url,split,league,region,day,group,game_id,source_url,source_scope,table_index,table_type,table_heading,row_number,player,team,best_p,games,kills,assists,knocks,times_knocked,dmg_dealt,dmg_taken,dmg_diff,dmg_per_kill,ring_dmg,rez,rspn,k_per_d,ka_per_d,deaths,surv_time,avg_time_to_first_kill,top_10_pct,t10_to_t5_pct,t5_to_t1_pct
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,83,player_stats,Scores,1,TSM Imperialhal,TSM,1st,38,43,36,56,44,"23,019","21,159","1,860",535.33,"1,724",1,0,1.05,1.93,41,9h 36m 50s,9m 39s,47.4%,27.8%,20%
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,83,player_stats,Scores,2,WMN BoLin,WMNDY,1st,30,15,21,21,35,"10,908","12,302","-1,394",727.2,"1,193",2,1,0.47,1.13,32,7h 20s,11m 10s,33.3%,70%,14.3%
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,83,player_stats,Scores,3,PUA MaxStrafe,PassionUA,3rd,24,17,18,20,28,"16,451","16,957",-506,967.71,720,3,2,0.68,1.4,25,6h 22m 25s,10m 30s,50%,25%,0%
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,83,player_stats,Scores,4,SSG Frexs,SSG,2nd,38,41,48,52,41,"19,460","16,078","3,382",474.63,"1,756",10,1,1.05,2.28,39,10h 23m 47s,11m 57s,47.4%,55.6%,0%
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,83,player_stats,Scores,5,RID saku,RIDDLE ORDER,2nd,24,8,15,14,25,"8,745","11,700","-2,955",1093.13,314,2,0,0.32,0.92,25,5h 38m 42s,11m 32s,41.7%,50%,0%
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,83,player_stats,Scores,6,MIH arctic,Made in Heaven,2nd,30,24,30,33,34,"16,947","18,202","-1,255",706.13,226,1,0,0.8,1.8,30,7h 37m 24s,12m 0s,43.3%,38.5%,0%
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,83,player_stats,Scores,7,BGB rakiiii,Boogie Boarders,2nd,24,22,11,28,26,"14,446","11,011","3,435",656.64,75,4,0,0.85,1.27,26,6h 41m 54s,13m 37s,58.3%,35.7%,0%
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,83,player_stats,Scores,8,o7 Amphy,o7,1st,32,26,32,31,33,"11,669","12,484",-815,448.81,295,6,0,0.81,1.81,32,6h 14m 16s,9m 7s,31.3%,60%,50%
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,83,player_stats,Scores,9,BRD artiNN1,BR DEM0NZ,1st,24,14,15,20,26,"10,249","12,425","-2,176",732.07,"1,183",1,0,0.61,1.26,23,5h 55m 17s,14m 8s,29.2%,57.1%,25%
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,83,player_stats,Scores,10,WTD bobo2157,wonton dumpling,1st,30,16,20,21,35,"8,046","13,120","-5,074",502.88,"1,150",5,2,0.53,1.2,30,6h 26m 36s,10m 10s,33.3%,60%,16.7%
