event_slug,event_name,overview_url,split,league,region,day,group,game_id,source_url,source_scope,table_index,table_type,table_heading,row_number,team,games,best_p,avg_p,kills,place_pts,total_pts,knocks,times_knocked,dmg_dealt,dmg_taken,dmg_diff,dmg_per_kill,ring_dmg,rez,rspn,k_per_d,ka_per_d,deaths,surv_time,avg_fastest_first_kill,top_1s,top_2s,top_3s,top_5s,top_10s,top_15s,top_20s,top_10_pct,t10_to_t5_pct,t5_to_t1_pct,assists
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,82,team_stats,Scores,1,TSM,38,1st,11,109,84,193,141,128,"55,629","57,629","-2,000",510.36,"5,619",11,8,0.92,1.73,119,28h 52m 40s,9m 34s,1,2,4,5,18,31,38,47.4%,27.8%,20%,97
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,82,team_stats,Scores,2,Virtus.Pro,32,1st,8.8,82,122,204,101,101,"49,799","43,576","6,223",607.3,"4,251",9,3,0.91,1.83,90,28h 15m 47s,13m 34s,3,6,8,13,20,26,32,62.5%,65%,23.1%,83
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,82,team_stats,Scores,3,CRAZY RACCOON,30,1st,11.7,65,66,131,86,100,"36,546","37,871","-1,325",562.25,"3,404",15,2,0.76,1.63,86,23h 20m 15s,10m 28s,2,2,3,6,11,22,30,36.7%,54.5%,33.3%,75
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,82,team_stats,Scores,4,FNATIC,32,1st,8.6,174,109,283,199,112,"70,195","59,171","11,024",403.42,"7,109",26,3,1.87,3.96,93,27h 25m 14s,9m 55s,2,5,7,9,20,29,32,62.5%,45%,22.2%,194
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,82,team_stats,Scores,5,Liquid Alienware,32,1st,11,81,84,165,105,105,"48,576","51,318","-2,742",599.7,"2,924",11,7,0.84,1.69,97,25h 32m 21s,12m 26s,2,4,5,7,16,19,32,50%,43.8%,28.6%,83
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,82,team_stats,Scores,6,Complexity,30,3rd,9.1,42,86,128,65,93,"44,417","40,277","4,140",1057.55,"2,281",6,0,0.47,0.8,90,25h 1m 46s,12m 24s,0,0,4,12,16,27,30,53.3%,75%,0%,30
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,82,team_stats,Scores,7,Alliance,38,1st,10.1,143,110,253,170,123,"64,314","65,294",-980,449.75,"9,546",22,5,1.34,2.52,107,30h 3m 24s,10m 27s,4,4,5,8,22,27,38,57.9%,36.4%,50%,127
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,82,team_stats,Scores,8,SSG,38,2nd,10,136,95,231,165,130,"69,906","54,659","15,247",514.01,"5,761",15,2,1.17,2.4,116,31h 9m 37s,10m 33s,0,3,4,10,18,31,38,47.4%,55.6%,0%,142
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,82,team_stats,Scores,9,Elev8 Gaming,38,1st,10.3,141,123,264,167,114,"67,286","57,636","9,650",477.21,"3,034",11,1,1.41,2.78,100,28h 37m 18s,9m 15s,5,6,7,12,21,28,38,55.3%,57.1%,41.7%,137
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,82,team_stats,Scores,10,2Rats1Controller,32,1st,11.6,95,66,161,113,118,"45,880","58,355","-12,475",482.95,"4,445",19,13,0.91,2,104,25h 13m 47s,8m 54s,2,2,3,4,12,25,32,37.5%,33.3%,50%,113
