event_slug,event_name,overview_url,split,league,region,day,group,game_id,source_url,source_scope,weapon_key,weapon,kills,damage,knockdowns,times_knocked,fwr_pct,shots,hits,accuracy,playtime,playtime_seconds,max_kill_range,max_damage_range,icon,stage,game_label,game_number,map_name,stats_url,replay_url,title
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,Hemlok,Hemlok,623,450810,1100,356,75.55,165941,25563,15.4%,101h 16m 8s,364568,333.55,454.99,Hemlok_Burst_AR_Icon.svg,,,,,,,
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,Flatline,VK-47 Flatline,125,85520,262,153,63.13,40015,5279,13.19%,23h 49m 44s,85784,170.22,301.07,VK-47_Flatline_Icon.svg,,,,,,,
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,HAVOC,HAVOC Rifle,817,290129,1611,824,66.16,88348,18234,20.64%,47h 21m 42s,170502,147.75,300.88,HAVOC_Rifle_Icon.svg,,,,,,,
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,Kraber,Kraber .50-Cal Sniper,23,11459,46,10,82.14,32,93,-,1h 12m 42s,4362,104.68,219.09,Kraber_.50-Cal_Sniper_Icon.svg,,,,,,,
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,Volt,Volt SMG,500,180998,923,616,59.97,60295,13441,22.29%,28h 56m 25s,104185,81.97,230.08,Volt_SMG_Icon.svg,,,,,,,
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,Mozambique,Mozambique Shotgun,37,14268,70,51,57.85,1114,948,85.1%,1h 46m 4s,6364,82.06,90.94,Mozambique_Shotgun_Icon.svg,,,,,,,
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,L-STAR,L-STAR EMG,42,10898,80,37,68.38,5025,766,15.24%,2h 6m 57s,7617,48.11,225.6,L-STAR_EMG_Icon.svg,,,,,,,
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,Prowler,Prowler Burst PDW,143,51216,266,176,60.18,20677,3768,18.22%,8h 59m 15s,32355,48.88,175.98,Prowler_Burst_PDW_Icon.svg,,,,,,,
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,Alternator,Alternator SMG,52,18898,95,71,57.23,7981,1263,15.83%,3h 53m 50s,14030,51.41,193.88,Alternator_SMG_Icon.svg,,,,,,,
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,Devotion,Devotion LMG,20,8435,34,18,65.38,3222,602,18.68%,1h 22m 25s,4945,61.13,168.14,Devotion_LMG_Icon.svg,,,,,,,
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,ArcStar,Arc Star,51,27045,101,,,-,881,-,0h 0m 0s,0,108.95,146.01,Arc_Star.svg,,,,,,,
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,R-301,R-301 Carbine,37,27236,64,45,58.72,15282,2433,15.92%,7h 24m 52s,26692,133.58,385.41,R-301_Carbine_Icon.svg,,,,,,,
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,G7Scout,G7 Scout,46,53889,99,40,71.22,14583,1932,13.25%,15h 17m 21s,55041,168.44,338.1,G7_Scout_Icon.svg,,,,,,,
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,ThermiteGrenade,Thermite Grenade,16,11685,40,,,-,3457,-,0h 0m 0s,0,45.04,142.58,Thermite_Grenade.svg,,,,,,,
