event_slug,game_id,deaths,rez,rspn,knocks,times_knocked,ring_damage
championship_split2,08aa514feeced6e2700f5f1d30e31930,60,16,3,76,74,4477
championship_split2,0a8f9e177d1ad8c72a7c9bc35d424b17,66,23,9,85,84,7228
championship_split2,15b3af1b53a1efe9b7de824d0c8359dd,57,11,0,69,68,5194
championship_split2,1919ee01dfa7a9f8a0761e31d38abce6,59,24,2,84,82,2297
championship_split2,1975b23578215c901869999cc7e191b8,59,19,2,78,72,1355
championship_split2,1a8fc6dc5d432072799bdc9461f6f137,59,17,2,77,74,1070
championship_split2,1aeaec94906577a0700501eeeeda8dc6,61,18,4,78,76,4843
championship_split2,1aef58b6dd370abf463aff49fa2db113,60,29,3,87,84,4501
championship_split2,20000762e874f3c64eaa2f3d3adcedc0,63,15,6,78,76,5741
championship_split2,27846e64ef6b95d939f73daaf24bccc2,60,22,3,82,78,2591
championship_split2,29de396a22d298d1ac338c2beae1c6e9,58,14,1,73,72,1256
championship_split2,2fd4662ae572b23186a460ea15433e35,58,18,1,76,75,3012
championship_split2,3347a03bc149a736ea39582fffb2d6cc,61,22,4,83,76,3788
championship_split2,38cfd7134ffd6cac722f8712519cd793,58,28,1,86,77,2827
championship_split2,3a3ff25c28990c001f263a5211cb3fb6,60,20,3,80,77,3123
championship_split2,3efddbcd0312cf67b223d7daa4c8e6fe,60,18,3,78,75,4372
championship_split2,3f9b82d30a1d6f3c9f31ecdd2722caa6,60,25,3,86,80,6656
championship_split2,432376b187d37d271022434ba8ce73a8,61,8,4,69,68,1798
championship_split2,446499e04861f74ce0ca0f816b2a73ab,58,20,2,78,72,2045
championship_split2,46256146833b536d73e017eb78bbeb87,59,18,2,79,74,3698
championship_split2,4f457d5a6eb80194675c6f6a06f7eb3b,63,23,6,85,80,4103
championship_split2,51a4959e61c778dc3f2de2c612b89041,59,24,2,84,78,3814
championship_split2,5470dd75560021da890cfd3f40012165,63,23,6,87,87,3683
championship_split2,5e95e681bad467845c3c97761c48d45a,60,24,3,84,79,2368
championship_split2,60f62796650afdfd272c61ffab60858b,59,18,2,79,75,2158
championship_split2,611faa1c3ade3871fc2e15dc72ab4534,66,13,9,79,75,2431
championship_split2,61836d560fe92404cb8c6deca00a4b50,67,20,10,86,82,7177
championship_split2,61930f07ff06819323fecae2ce370745,60,21,3,80,76,2041
championship_split2,62ba8cb3b750321cb7320742d1e359ba,62,32,5,93,92,5206
championship_split2,67d928da9d66f1f2af210ef45caa532e,61,20,4,81,81,2877
championship_split2,6d09499ab0504bf733dbb1609efa8122,59,15,2,73,72,1328
championship_split2,71c5c8216a099030a4bdd35c4dd554a4,62,14,5,78,76,1528
championship_split2,773304cd834f1add9dd291a56c2425c1,61,21,4,82,78,1437
championship_split2,77b3a5077b34a60f8af502f9ae04fac8,57,20,0,77,75,3485
championship_split2,854332f5ab2f326831817ba754a33762,64,13,7,77,74,3118
championship_split2,8582606428dd495085b61cdbf172f3e6,57,12,0,70,68,2026
championship_split2,90b5a3acf39d75b568b3eb5cfcd09b99,62,21,4,83,81,4565
championship_split2,959c495d02d59c002ef327f42171349c,59,17,2,76,74,1662
championship_split2,96fbd7f8bccc9607f29ee1295f4506de,64,15,7,79,75,2477
championship_split2,9d93524307ff6fd6e3d05529f33b4e06,61,24,4,85,79,4572
championship_split2,a08cd3beab5d3843d00dee4b104b6ac9,63,15,6,79,78,5357
championship_split2,a1797ee7bf53ec7d9147ff4c1e2121dc,63,25,6,88,84,3255
championship_split2,a1fc5ffd72964b70d8056428889ead41,61,26,4,87,82,2553
championship_split2,a21050c58b165cf5e9c7e69614a61b95,63,8,6,73,72,3137
championship_split2,a63b1ab92f6aa91d94e1b1d2b4e00adc,57,20,0,77,69,4520
championship_split2,adb5006f49fc805d9b04014822675150,57,12,0,71,66,1616
championship_split2,b0d1bd61596e13b625341ae4311c052d,62,16,5,78,73,2293
championship_split2,b38336b83717d221e7076442b54e616c,66,30,9,95,91,4799
championship_split2,b5c384ad4ce1bf6f6cb254a79b70432d,59,30,2,91,89,3583
championship_split2,b703bc14e90a1507dfc358252c499c46,61,33,4,96,90,3853
championship_split2,bc819c38781df5733d5dd2801f710a59,61,13,3,74,70,2615
championship_split2,bd19433e41355bf44089518248e9eb8f,58,18,1,76,73,2372
championship_split2,c117cce4ddbdcf72be42b060a12987a7,60,14,3,75,72,1516
championship_split2,c77bea1584c333efde7e6f4024c5f832,63,30,5,93,85,1926
championship_split2,cb7e29e9533624758bde65cc722f74e1,61,16,4,77,75,2486
championship_split2,cf04a9060204c33ddc105bc55d172526,61,13,4,75,74,2436
championship_split2,d2baea01ef77003fa80b2e41788a3da8,59,29,2,90,84,3790
championship_split2,d42ac286adf281ab62665b0f48c0ffc7,67,23,10,89,84,7885
championship_split2,d4d43c27ce745949ce8d2139aac591b5,61,23,4,84,80,3178
championship_split2,d5a8375044e0f849168cbf3adb30ac2c,62,14,5,78,74,5249
championship_split2,d99dff44bcf752b4095a53be15e678b6,64,24,7,87,83,6515
championship_split2,dbfbca8914ff0e128268444bf2f84dae,63,15,6,78,76,3571
championship_split2,e45ccacbc95fbc8b55fcdee2830edeef,59,17,2,78,75,4053
championship_split2,e4fa7a344aee5ed7080e9b6b0b34eeb8,60,19,3,80,78,3134
championship_split2,e8aae35f000c3e3afd7896c56b858672,60,18,3,78,71,2445
championship_split2,f042069dec0efd9f39f85cb8eb97eec7,59,12,2,72,71,3315
championship_split2,f2ece1548c01981e6f6179e42f325c32,60,11,3,71,69,3108
championship_split2,f9f25d09fa3c20d1428b2e2836027bfe,61,17,4,78,74,3917
championship_split2,fcb75e159e92046e2da9213407f736ec,65,25,8,91,86,6246
midseason_ewc_split1,020ce14ab661dfbf2460b1c2022f344f,60,8,3,69,68,3698
midseason_ewc_split1,062103851589fe2d336c803eca804d2b,59,12,2,72,71,1607
midseason_ewc_split1,06f15898f6f5daf51a82e69683fa7aa1,60,15,3,75,72,3139
midseason_ewc_split1,09125579fb033849bb42e2c31cafd1fc,58,9,1,67,65,3194
midseason_ewc_split1,092045e0455d0a72d64a8effdb0e8f5c,61,7,4,68,66,1886
midseason_ewc_split1,0a0d4255674cbcb0221f28ff63fb15ed,57,15,0,72,70,2296
midseason_ewc_split1,1affff70a7c11dc59d72d8fce075405a,59,9,2,68,66,4416
midseason_ewc_split1,1e5e3ecf2cfe3692fa563ddf4b6fd626,58,14,1,73,67,4905
midseason_ewc_split1,2aa6aee36e26712f48c7389a60a89571,57,2,0,59,58,3177
midseason_ewc_split1,35e659bf50e8f22d1bc040697117c978,58,12,0,69,68,3769
midseason_ewc_split1,37f2277437a21e770c5765d98819e078,62,6,4,67,66,5658
midseason_ewc_split1,3f8153bc005bd1e590b7238f0217fa74,59,3,1,61,61,1125
midseason_ewc_split1,42656f28617fc0e239cc1248c9d81627,60,17,3,77,71,1856
midseason_ewc_split1,43492be9f54ba00cc2c947a0ea8a1649,60,7,3,67,65,2873
midseason_ewc_split1,4c1d2235d5e48ebdadfc97dd6beeaeca,59,12,2,73,73,2410
midseason_ewc_split1,518306dba23e30fad1c68e5b8fc96993,62,7,5,70,67,4000
midseason_ewc_split1,598b6b3aff951f84cf998a70b2f595c5,60,10,3,70,67,3773
midseason_ewc_split1,6222816c506ae116d265a92079a71722,62,15,5,79,74,3376
midseason_ewc_split1,63f5dae98f4f71d77e656c80dea0ae59,58,4,1,62,64,1230
midseason_ewc_split1,698bc6a7c5a8a16be8ed706e23469532,60,15,3,75,75,3448
midseason_ewc_split1,6a50270864307bf3078783013a76b432,59,9,1,69,68,2567
midseason_ewc_split1,6a621a7e5d3c66e1e9a75d2dc0e85816,63,10,6,73,71,3432
midseason_ewc_split1,7368aa9d33e15a1c8bf26a9941304ebe,59,6,2,66,67,2296
midseason_ewc_split1,7dfb4bd45895fbff1ec8b825bfde966e,57,11,0,68,65,2849
midseason_ewc_split1,88e1e7c1632fe20dc94f1d805b35c5bb,62,8,5,69,69,3141
midseason_ewc_split1,88e4671f52eb8644d274e25a37c92e89,60,6,3,66,66,3423
midseason_ewc_split1,8d256aec30188b3471c0ea64698764e4,59,6,2,65,64,2469
midseason_ewc_split1,9947695356b96bc2a4db7c72e763ebf8,60,5,1,65,63,3857
midseason_ewc_split1,9ba8e8c991c9dc0df80f9d343bf5673c,59,12,1,70,69,3329
midseason_ewc_split1,a412ac3b0de09d21c6a288720bad95c5,59,13,2,73,68,3019
midseason_ewc_split1,a4d59b0bbf0c6e481c6aa042e8fb1950,59,13,2,72,67,1750
midseason_ewc_split1,a7ce3993da6bb07e144d61f334743af6,58,10,1,68,64,2717
midseason_ewc_split1,b5c15efe1aa5d73ecada2d5cd09877b0,59,20,2,79,75,1036
midseason_ewc_split1,be3b28e757945ba5172321cb0c5dd1f5,59,6,2,65,63,993
midseason_ewc_split1,c375a98726541ba3eabf4d95be5dc7b7,59,5,2,66,65,2297
midseason_ewc_split1,c9057390ea7a7ae7f04e99d6358b11de,60,12,3,72,68,2770
midseason_ewc_split1,d0ec5c936b1063fc0e1926920430b300,66,15,9,79,76,6308
midseason_ewc_split1,d1d037cc1504745fce7525b6d0a9c6ef,60,8,3,68,68,2054
midseason_ewc_split1,e02915d37939c8f18ff9c23de4054000,0,9,0,71,0,0
midseason_ewc_split1,e02915d37939c8f18ff9c23de4054dd2,60,9,3,69,67,3285
midseason_ewc_split1,e6e4d38d8d7697dbbda00da29753e72f,60,12,3,72,71,2694
midseason_ewc_split1,efbc9b9327466e764caae77279917f9e,58,8,1,66,62,986
midseason_ewc_split1,f429788b7cf734e5566f7df313773efc,60,8,3,68,65,3699
playoffs_split1,070ed66d538a0c27ab124da0cb3652f6,62,6,4,69,68,3994
playoffs_split1,0b2808f46ef192416601f7b0bb3b5123,58,10,1,69,67,2305
playoffs_split1,0ef3ec6319ef6e1561feb7096c2f5bef,58,6,1,64,62,2253
playoffs_split1,15b89b400bd62d758a262916a77aca5d,60,11,3,73,69,2909
playoffs_split1,1768492f6177178c0f820513b8400e77,59,4,2,64,63,3681
playoffs_split1,1a5775973410d10dcb1b65ff91dde6d6,58,12,1,71,68,1904
playoffs_split1,20c45f5244b387cf57826093aaca141b,59,5,2,65,64,3924
playoffs_split1,21c427a9a350639009e1df3e7c40857a,59,10,2,70,68,1492
playoffs_split1,22883cfb52f91821259ccb142baa4e77,63,8,6,70,70,3083
playoffs_split1,23716f9c78f60d5c0ffaa7efb4b7bb98,60,12,3,72,69,4629
playoffs_split1,257081c63b3e968ca1f53b68084d7b45,62,12,5,74,69,2513
playoffs_split1,26a5f497a2ee98fd785bbbf56c43189d,59,6,2,66,65,2107
playoffs_split1,2cb28ec726a4db13e5cb3df238b70a07,60,10,3,70,67,1869
playoffs_split1,2e68347dda46910685df17425d3da15e,61,7,4,70,67,3986
playoffs_split1,2ea712db3c1833549c763a81af5c0ac1,59,6,1,63,64,3234
playoffs_split1,32491f22131a367c62a0c727704cbc85,58,4,1,62,62,2879
playoffs_split1,34500799285bff8675912db8a4f4d765,58,12,1,70,67,4751
playoffs_split1,3a6d0ba8b38b77226d0dbb3fd423defb,59,5,2,66,64,2477
playoffs_split1,404c273255fa25c5cc8b5c4ec2a77613,60,10,3,71,69,2226
playoffs_split1,426f720c317b62fd1dfbbd1658f874ba,64,7,7,71,72,2806
playoffs_split1,44e0ccf0faa2d8cfc8e535f43eba6878,58,11,1,69,67,1121
playoffs_split1,49e5286ae3f0eeeb1ec3ab426a97843b,64,12,7,77,75,4567
