event_slug,event_name,overview_url,split,league,region,day,group,game_id,source_url,source_scope,weapon_key,weapon,kills,damage,knockdowns,times_knocked,fwr_pct,shots,hits,accuracy,playtime,playtime_seconds,max_kill_range,max_damage_range,icon,stage,game_label,game_number,map_name,stats_url,replay_url,title,category,total_kills,total_damage,kill_share_pct,damage_share_pct,event_label
championship_split2,ALGS Year 4 Championship,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Championships/Global/Overview,Y4-Split2,ALGS-Championships,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Championships/Global/Overview,overview,Mastiff,Mastiff Shotgun,1080,348285,2023.0,1466.0,57.98,11498,26066,-,62h 18m 43s,224323,60.31,136.8,Mastiff_Shotgun_Icon.svg,,,,,,,,Shotgun,3508,2545007,30.78677309007982,13.685031121721865,Championship
championship_split2,ALGS Year 4 Championship,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Championships/Global/Overview,Y4-Split2,ALGS-Championships,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Championships/Global/Overview,overview,Peacekeeper,Peacekeeper,568,213628,1092.0,854.0,56.12,5527,22149,-,38h 45m 7s,139507,52.6,201.74,Peacekeeper_Icon.svg,,,,,,,,Shotgun,3508,2545007,16.191562143671607,8.394004417276651,Championship
championship_split2,ALGS Year 4 Championship,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Championships/Global/Overview,Y4-Split2,ALGS-Championships,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Championships/Global/Overview,overview,EVA-8,EVA-8 Auto,520,161721,1016.0,703.0,59.1,9270,25627,-,24h 34m 31s,88471,28.08,52.59,EVA-8_Auto_Icon.svg,,,,,,,,Shotgun,3508,2545007,14.823261117445838,6.354442247113663,Championship
championship_split2,ALGS Year 4 Championship,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Championships/Global/Overview,Y4-Split2,ALGS-Championships,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Championships/Global/Overview,overview,G7Scout,G7 Scout,486,763818,1056.0,310.0,77.31,209020,28392,13.58%,177h 11m 38s,637898,243.05,470.83,G7_Scout_Icon.svg,,,,,,,,Precision,3508,2545007,13.854047890535918,30.01241253953329,Championship
championship_split2,ALGS Year 4 Championship,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Championships/Global/Overview,Y4-Split2,ALGS-Championships,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Championships/Global/Overview,overview,Nemesis,Nemesis Burst AR,300,346108,574.0,193.0,74.84,146578,26766,18.26%,94h 55m 28s,341728,234.49,384.75,Nemesis_Burst_AR_Icon.svg,,,,,,,,AR,3508,2545007,8.55188141391106,13.599491081949873,Championship
championship_split2,ALGS Year 4 Championship,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Championships/Global/Overview,Y4-Split2,ALGS-Championships,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Championships/Global/Overview,overview,TripleTake,Triple Take,63,151999,173.0,55.0,75.88,15968,8335,52.2%,36h 25m 26s,131126,149.86,476.49,Triple_Take_Icon.svg,,,,,,,,Precision,3508,2545007,1.7958950969213228,5.972439368536118,Championship
championship_split2,ALGS Year 4 Championship,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Championships/Global/Overview,Y4-Split2,ALGS-Championships,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Championships/Global/Overview,overview,ChargeRifle,Charge Rifle,50,108767,175.0,15.0,92.11,7738,1598,20.65%,19h 18m 35s,69515,308.37,489.43,Charge_Rifle_Icon.svg,,,,,,,,Precision,3508,2545007,1.4253135689851768,4.273740700909664,Championship
championship_split2,ALGS Year 4 Championship,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Championships/Global/Overview,Y4-Split2,ALGS-Championships,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Championships/Global/Overview,overview,R-301,R-301 Carbine,34,31740,64.0,22.0,74.42,22785,3016,13.24%,11h 54m 9s,42849,114.06,381.27,R-301_Carbine_Icon.svg,,,,,,,,AR,3508,2545007,0.9692132269099202,1.2471478467446258,Championship
championship_split2,ALGS Year 4 Championship,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Championships/Global/Overview,Y4-Split2,ALGS-Championships,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Championships/Global/Overview,overview,HAVOC,HAVOC Rifle,27,16358,49.0,,,-,940,-,0h 0m 0s,0,68.8,208.84,HAVOC_Rifle_Icon.svg,,,,,,,,AR,3508,2545007,0.7696693272519954,0.6427487232844546,Championship
championship_split2,ALGS Year 4 Championship,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Championships/Global/Overview,Y4-Split2,ALGS-Championships,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Championships/Global/Overview,overview,Mozambique (Akimbo),Mozambique (Akimbo),26,12717,26.0,2.0,92.86,-,945,-,3h 24m 7s,12247,32.14,40.74,Mozambique_Shotgun_Akimbo_Icon.svg,,,,,,,,Shotgun-Akimbo,3508,2545007,0.7411630558722919,0.49968428377603674,Championship
