event_slug,category,kills,damage,playtime_seconds,total_kills,total_damage,kill_share_pct,damage_share_pct,event_label
playoffs_split1,AR,1805,1002731,782420,3141,1707773,57.46577523081821,58.71570753255848,Split 1
playoffs_split1,LMG,87,30973,28789,3141,1707773,2.76981852913085,1.8136485352561493,Split 1
playoffs_split1,Pistol/Akimbo,6,1042,973,3141,1707773,0.19102196752626552,0.06101513491547179,Split 1
playoffs_split1,Pistol/SMG,31,10269,7226,3141,1707773,0.9869468322190386,0.6013094246132243,Split 1
playoffs_split1,Precision,323,343886,298386,3141,1707773,10.283349251830627,20.136516972688995,Split 1
playoffs_split1,SMG,732,263619,183939,3141,1707773,23.304680038204392,15.436419243072704,Split 1
playoffs_split1,Shotgun,155,55137,21729,3141,1707773,4.934734161095193,3.2285906850617736,Split 1
playoffs_split1,Shotgun-Akimbo,2,116,19,3141,1707773,0.06367398917542184,0.006792471833200314,Split 1
midseason_ewc_split1,AR,1459,823552,629853,2155,1281899,67.70301624129931,64.24468698391995,EWC
midseason_ewc_split1,LMG,105,42686,30011,2155,1281899,4.872389791183295,3.329903525940811,EWC
midseason_ewc_split1,Pistol/Akimbo,0,0,705,2155,1281899,0.0,0.0,EWC
midseason_ewc_split1,Pistol/SMG,2,764,1774,2155,1281899,0.09280742459396751,0.059599079178624836,EWC
midseason_ewc_split1,Precision,256,294541,267540,2155,1281899,11.879350348027842,22.976927199412746,EWC
midseason_ewc_split1,SMG,302,111051,89270,2155,1281899,14.013921113689095,8.663006991970507,EWC
midseason_ewc_split1,Shotgun,31,9305,4737,2155,1281899,1.4385150812064966,0.7258762195773614,EWC
midseason_ewc_split1,Shotgun-Akimbo,0,0,21,2155,1281899,0.0,0.0,EWC
playoffs_split2,AR,1126,819901,795616,3402,1858045,33.09817754262199,44.127079807001444,Split 2
playoffs_split2,LMG,95,48836,48428,3402,1858045,2.792475014697237,2.6283539957320734,Split 2
playoffs_split2,Pistol/Akimbo,13,6787,6349,3402,1858045,0.3821281599059377,0.3652764061150295,Split 2
playoffs_split2,Pistol/SMG,0,131,1319,3402,1858045,0.0,0.007050421276126251,Split 2
playoffs_split2,Precision,358,420576,380021,3402,1858045,10.523221634332746,22.6354044170082,Split 2
playoffs_split2,SMG,115,40889,46068,3402,1858045,3.3803644914756026,2.2006463783169945,Split 2
playoffs_split2,Shotgun,528,146555,98372,3402,1858045,15.520282186948853,7.887591527654067,Split 2
playoffs_split2,Shotgun-Akimbo,1167,374370,201547,3402,1858045,34.30335097001764,20.148597046896064,Split 2
championship_split2,AR,405,445551,457833,3368,2416115,12.024940617577197,18.440802693580398,Championship
championship_split2,LMG,40,37195,51933,3368,2416115,1.187648456057007,1.5394548686631224,Championship
championship_split2,Pistol/Akimbo,2,364,1557,3368,2416115,0.05938242280285035,0.015065508057356541,Championship
championship_split2,Pistol/SMG,0,20,1845,3368,2416115,0.0,0.0008277751679866232,Championship
championship_split2,Precision,688,1186504,970065,3368,2416115,20.42755344418052,49.107927395840015,Championship
championship_split2,SMG,18,8287,10875,3368,2416115,0.5344418052256532,0.3429886408552573,Championship
championship_split2,Shotgun,2189,725477,459873,3368,2416115,64.99406175771972,30.026592277271572,Championship
championship_split2,Shotgun-Akimbo,26,12717,12247,3368,2416115,0.7719714964370546,0.5263408405642943,Championship
